low,low,2,2,small,low,unacc,1.0
low,med,2,2,small,low,unacc,0.9847191011235954
low,high,2,2,small,low,unacc,0.9698876404494381
low,low,3,2,small,low,unacc,0.9617977528089888
low,vhigh,2,2,small,low,unacc,0.9550561797752809
low,med,3,2,small,low,unacc,0.9465168539325842
low,high,3,2,small,low,unacc,0.9316853932584269
low,low,4,2,small,low,unacc,0.9247191011235956
med,low,2,2,small,low,unacc,0.9235955056179775
low,vhigh,3,2,small,low,unacc,0.9168539325842696
low,low,2,2,med,low,unacc,0.9157303370786517
low,med,4,2,small,low,unacc,0.9094382022471911
med,med,2,2,small,low,unacc,0.9083146067415729
low,med,2,2,med,low,unacc,0.9004494382022471
low,high,4,2,small,low,unacc,0.8946067415730337
med,high,2,2,small,low,unacc,0.8934831460674156
low,low,2,2,small,med,unacc,0.8876404494382023
low,low,5more,2,small,low,unacc,0.8876404494382023
low,high,2,2,med,low,unacc,0.8856179775280898
med,low,3,2,small,low,unacc,0.8853932584269664
low,vhigh,4,2,small,low,unacc,0.8797752808988764
med,vhigh,2,2,small,low,unacc,0.8786516853932584
low,low,3,2,med,low,unacc,0.8775280898876404
low,med,2,2,small,med,unacc,0.8723595505617977
low,med,5more,2,small,low,unacc,0.8723595505617977
low,vhigh,2,2,med,low,unacc,0.8707865168539326
med,med,3,2,small,low,unacc,0.8701123595505618
low,med,3,2,med,low,unacc,0.8622471910112359
low,high,2,2,small,med,unacc,0.8575280898876404
low,high,5more,2,small,low,unacc,0.8575280898876404
med,high,3,2,small,low,unacc,0.8552808988764045
high,low,2,2,small,low,unacc,0.849438202247191
low,low,3,2,small,med,unacc,0.849438202247191
low,low,2,4,small,low,unacc,0.8494382022471909
med,low,4,2,small,low,unacc,0.8483146067415731
low,high,3,2,med,low,unacc,0.8474157303370786
low,vhigh,2,2,small,med,unacc,0.8426966292134831
low,vhigh,5more,2,small,low,unacc,0.8426966292134831
med,vhigh,3,2,small,low,unacc,0.8404494382022472
low,low,4,2,med,low,unacc,0.8404494382022472
med,low,2,2,med,low,unacc,0.8393258426966292
low,med,2,4,small,low,unacc,0.8341573033707865
low,med,3,2,small,med,unacc,0.8341573033707865
high,med,2,2,small,low,unacc,0.8341573033707864
med,med,4,2,small,low,unacc,0.8330337078651685
low,vhigh,3,2,med,low,unacc,0.8325842696629213
low,low,2,2,big,low,unacc,0.8314606741573034
low,med,4,2,med,low,unacc,0.8251685393258427
med,med,2,2,med,low,unacc,0.8240449438202246
high,high,2,2,small,low,unacc,0.8193258426966291
low,high,2,4,small,low,unacc,0.8193258426966291
low,high,3,2,small,med,unacc,0.8193258426966291
med,high,4,2,small,low,unacc,0.8182022471910112
low,med,2,2,big,low,unacc,0.8161797752808989
low,low,4,2,small,med,unacc,0.8123595505617978
high,low,3,2,small,low,unacc,0.8112359550561798
med,low,2,2,small,med,unacc,0.8112359550561798
med,low,5more,2,small,low,unacc,0.8112359550561798
low,low,3,4,small,low,unacc,0.8112359550561798
low,high,4,2,med,low,unacc,0.8103370786516854
med,high,2,2,med,low,unacc,0.8092134831460673
high,vhigh,2,2,small,low,unacc,0.8044943820224719
low,vhigh,2,4,small,low,unacc,0.8044943820224719
low,vhigh,3,2,small,med,unacc,0.8044943820224719
med,vhigh,4,2,small,low,unacc,0.8033707865168539
low,low,2,2,med,med,unacc,0.8033707865168539
low,low,5more,2,med,low,unacc,0.8033707865168539
low,high,2,2,big,low,unacc,0.8013483146067415
med,low,3,2,med,low,unacc,0.8011235955056181
low,med,4,2,small,med,unacc,0.7970786516853933
low,med,3,4,small,low,unacc,0.7959550561797754
high,med,3,2,small,low,unacc,0.7959550561797752
med,med,2,2,small,med,unacc,0.7959550561797752
med,med,5more,2,small,low,unacc,0.7959550561797752
low,vhigh,4,2,med,low,unacc,0.7955056179775281
med,vhigh,2,2,med,low,unacc,0.7943820224719101
low,low,3,2,big,low,unacc,0.7932584269662921
low,med,2,2,med,med,unacc,0.7880898876404494
low,med,5more,2,med,low,unacc,0.7880898876404494
low,vhigh,2,2,big,low,unacc,0.7865168539325842
med,med,3,2,med,low,unacc,0.7858426966292135
low,high,4,2,small,med,unacc,0.7822471910112359
high,high,3,2,small,low,unacc,0.7811235955056179
med,high,2,2,small,med,unacc,0.7811235955056179
med,high,5more,2,small,low,unacc,0.7811235955056179
low,high,3,4,small,low,unacc,0.7811235955056179
low,med,3,2,big,low,unacc,0.7779775280898876
vhigh,low,2,2,small,low,unacc,0.7752808988764045
low,low,2,2,small,high,unacc,0.7752808988764045
low,low,2,more,small,low,unacc,0.7752808988764045
low,low,5more,2,small,med,unacc,0.7752808988764045
high,low,4,2,small,low,unacc,0.7741573033707866
low,low,4,4,small,low,unacc,0.7741573033707866
low,high,2,2,med,med,unacc,0.7732584269662921
low,high,5more,2,med,low,unacc,0.7732584269662921
med,low,2,4,small,low,unacc,0.7730337078651686
med,low,3,2,small,med,unacc,0.7730337078651686
med,high,3,2,med,low,unacc,0.7710112359550562
low,vhigh,4,2,small,med,unacc,0.7674157303370787
high,vhigh,3,2,small,low,unacc,0.7662921348314606
med,vhigh,2,2,small,med,unacc,0.7662921348314606
med,vhigh,5more,2,small,low,unacc,0.7662921348314606
low,vhigh,3,4,small,low,unacc,0.7662921348314606
high,low,2,2,med,low,unacc,0.7651685393258427
low,low,3,2,med,med,unacc,0.7651685393258427
low,low,2,4,med,low,unacc,0.7651685393258426
med,low,4,2,med,low,unacc,0.7640449438202248
low,high,3,2,big,low,unacc,0.7631460674157303
vhigh,med,2,2,small,low,unacc,0.76
low,med,2,2,small,high,unacc,0.76
low,med,2,more,small,low,unacc,0.76
low,med,5more,2,small,med,unacc,0.76
low,med,4,4,small,low,unacc,0.7588764044943821
high,med,4,2,small,low,unacc,0.758876404494382
low,vhigh,2,2,med,med,unacc,0.7584269662921348
low,vhigh,5more,2,med,low,unacc,0.7584269662921348
med,med,2,4,small,low,unacc,0.757752808988764
med,med,3,2,small,med,unacc,0.757752808988764
med,vhigh,3,2,med,low,unacc,0.7561797752808989
low,low,4,2,big,low,unacc,0.7561797752808989
med,low,2,2,big,low,unacc,0.755056179775281
low,med,2,4,med,low,unacc,0.7498876404494382
low,med,3,2,med,med,unacc,0.7498876404494382
high,med,2,2,med,low,unacc,0.7498876404494381
med,med,4,2,med,low,unacc,0.7487640449438202
low,vhigh,3,2,big,low,unacc,0.748314606741573
vhigh,high,2,2,small,low,unacc,0.7451685393258426
low,high,2,2,small,high,unacc,0.7451685393258426
low,high,2,more,small,low,unacc,0.7451685393258426
low,high,5more,2,small,med,unacc,0.7451685393258426
high,high,4,2,small,low,unacc,0.7440449438202247
low,high,4,4,small,low,unacc,0.7440449438202247
med,high,2,4,small,low,unacc,0.7429213483146068
med,high,3,2,small,med,unacc,0.7429213483146068
low,med,4,2,big,low,unacc,0.7408988764044944
med,med,2,2,big,low,unacc,0.7397752808988763
vhigh,low,3,2,small,low,unacc,0.7370786516853933
high,low,2,2,small,med,unacc,0.7370786516853933
high,low,5more,2,small,low,unacc,0.7370786516853933
low,low,3,2,small,high,unacc,0.7370786516853933
low,low,3,more,small,low,unacc,0.7370786516853933
low,low,5more,4,small,low,unacc,0.7370786516853933
low,low,2,4,small,med,acc,0.7370786516853932
med,low,4,2,small,med,unacc,0.7359550561797753
high,high,2,2,med,low,unacc,0.7350561797752808
low,high,2,4,med,low,unacc,0.7350561797752808
low,high,3,2,med,med,unacc,0.7350561797752808
med,low,3,4,small,low,unacc,0.7348314606741574
med,high,4,2,med,low,unacc,0.7339325842696629
vhigh,vhigh,2,2,small,low,unacc,0.7303370786516854
low,vhigh,2,2,small,high,unacc,0.7303370786516854
low,vhigh,2,more,small,low,unacc,0.7303370786516854
low,vhigh,5more,2,small,med,unacc,0.7303370786516854
high,vhigh,4,2,small,low,unacc,0.7292134831460674
low,vhigh,4,4,small,low,unacc,0.7292134831460674
med,vhigh,2,4,small,low,unacc,0.7280898876404495
med,vhigh,3,2,small,med,unacc,0.7280898876404495
low,low,4,2,med,med,unacc,0.7280898876404495
high,low,3,2,med,low,unacc,0.7269662921348315
med,low,2,2,med,med,unacc,0.7269662921348315
med,low,5more,2,med,low,unacc,0.7269662921348315
low,low,3,4,med,low,unacc,0.7269662921348315
low,high,4,2,big,low,unacc,0.7260674157303371
med,high,2,2,big,low,unacc,0.724943820224719
vhigh,med,3,2,small,low,unacc,0.7217977528089887
high,med,2,2,small,med,unacc,0.7217977528089887
high,med,5more,2,small,low,unacc,0.7217977528089887
low,med,2,4,small,med,acc,0.7217977528089887
low,med,3,2,small,high,unacc,0.7217977528089887
low,med,3,more,small,low,unacc,0.7217977528089887
low,med,5more,4,small,low,unacc,0.7217977528089887
med,med,4,2,small,med,unacc,0.7206741573033707
high,vhigh,2,2,med,low,unacc,0.7202247191011236
low,vhigh,2,4,med,low,unacc,0.7202247191011236
low,vhigh,3,2,med,med,unacc,0.7202247191011236
med,med,3,4,small,low,unacc,0.7195505617977528
med,vhigh,4,2,med,low,unacc,0.7191011235955056
low,low,2,2,big,med,unacc,0.7191011235955056
